timestamped_line
"[16:17:43] Ready. Type 's' to start logging, 'e' to stop."
[16:17:43] Sensor Info:
[16:17:43] Sensor ID: 50
[16:17:43] Sensor Name: FORCE PLATE 850
[16:17:43] Units: N
[16:17:43] ▶️ START LOGGING
"[16:17:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:18:14] 35.49, Force(N): 21.665, ΔF(N): 1.011, FSR1: 824, FSR2: 1023, FSR3: 1023"
"[16:18:14] 35.60, Force(N): 20.654, ΔF(N): -1.011, FSR1: 828, FSR2: 1023, FSR3: 1023"
"[16:18:14] 35.72, Force(N): 21.665, ΔF(N): 1.011, FSR1: 825, FSR2: 1023, FSR3: 1023"
"[16:18:15] 35.93, Force(N): 22.676, ΔF(N): 1.011, FSR1: 790, FSR2: 1023, FSR3: 1022"
"[16:18:15] 36.04, Force(N): 21.665, ΔF(N): -1.011, FSR1: 787, FSR2: 1023, FSR3: 1023"
"[16:18:15] 36.15, Force(N): 20.654, ΔF(N): -1.011, FSR1: 788, FSR2: 1023, FSR3: 1023"
"[16:18:15] 36.37, Force(N): 22.676, ΔF(N): 2.021, FSR1: 785, FSR2: 1023, FSR3: 1023"
"[16:18:15] 36.48, Force(N): 21.665, ΔF(N): -1.011, FSR1: 786, FSR2: 1023, FSR3: 1023"
"[16:18:16] 36.80, Force(N): 22.676, ΔF(N): 1.011, FSR1: 780, FSR2: 1023, FSR3: 1023"
"[16:18:16] 37.21, Force(N): 24.697, ΔF(N): 2.021, FSR1: 730, FSR2: 1023, FSR3: 1023"
"[16:18:16] 37.32, Force(N): 25.708, ΔF(N): 1.011, FSR1: 702, FSR2: 1023, FSR3: 1023"
"[16:18:16] 37.44, Force(N): 24.697, ΔF(N): -1.011, FSR1: 692, FSR2: 1023, FSR3: 1023"
"[16:18:16] 37.55, Force(N): 27.729, ΔF(N): 3.032, FSR1: 655, FSR2: 1023, FSR3: 1023"
"[16:18:16] 37.66, Force(N): 28.740, ΔF(N): 1.011, FSR1: 650, FSR2: 1023, FSR3: 1023"
"[16:18:17] 37.87, Force(N): 29.751, ΔF(N): 1.011, FSR1: 625, FSR2: 1023, FSR3: 1023"
"[16:18:17] 37.99, Force(N): 31.772, ΔF(N): 2.021, FSR1: 615, FSR2: 1023, FSR3: 1023"
"[16:18:17] 38.20, Force(N): 33.794, ΔF(N): 2.021, FSR1: 607, FSR2: 1023, FSR3: 1023"
"[16:18:17] 38.41, Force(N): 34.805, ΔF(N): 1.011, FSR1: 587, FSR2: 1023, FSR3: 1023"
