timestamped_line
"[15:48:25] Ready. Type 's' to start logging, 'e' to stop."
[15:48:25] Sensor Info:
[15:48:25] Sensor ID: 50
[15:48:25] Sensor Name: FORCE PLATE 850
[15:48:25] Units: N
[15:48:25] ▶️ START LOGGING
"[15:48:25] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:48:59] 37.65, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 691"
"[15:48:59] 37.76, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 688"
"[15:48:59] 37.87, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 686"
"[15:48:59] 37.98, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 685"
"[15:48:59] 38.09, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 681"
"[15:48:59] 38.41, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 675"
"[15:49:00] 38.52, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 679"
"[15:49:00] 38.73, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 677"
"[15:49:00] 38.95, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 671"
"[15:49:00] 39.06, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 664"
"[15:49:00] 39.27, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 656"
"[15:49:00] 39.38, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 652"
"[15:49:01] 39.60, Force(N): 41.880, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 649"
"[15:49:01] 39.71, Force(N): 40.869, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 646"
"[15:49:01] 39.82, Force(N): 42.891, ΔF(N): 2.021, FSR1: 1022, FSR2: 1022, FSR3: 642"
"[15:49:01] 39.93, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 633"
"[15:49:01] 40.04, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 641"
"[15:49:01] 40.16, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 633"
"[15:49:01] 40.27, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:49:02] 40.59, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:49:02] 40.80, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 624"
"[15:49:02] 40.91, Force(N): 43.901, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 626"
"[15:49:02] 41.02, Force(N): 42.891, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 628"
"[15:49:02] 41.14, Force(N): 38.848, ΔF(N): -4.043, FSR1: 1023, FSR2: 1023, FSR3: 652"
"[15:49:02] 41.25, Force(N): 35.815, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 686"
"[15:49:02] 41.36, Force(N): 33.794, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 691"
"[15:49:03] 41.47, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 704"
"[15:49:03] 41.59, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 722"
"[15:49:03] 41.70, Force(N): 29.751, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 728"
