timestamped_line
"[14:53:49] Ready. Type 's' to start logging, 'e' to stop."
[14:53:49] Sensor Info:
[14:53:49] Sensor ID: 50
[14:53:49] Sensor Name: FORCE PLATE 850
[14:53:49] Units: N
[14:53:49] ▶️ START LOGGING
"[14:53:49] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[14:54:30] 44.72, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:30] 44.84, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[14:54:30] 45.05, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:30] 45.27, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[14:54:31] 45.38, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:31] 45.60, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:31] 46.11, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[14:54:31] 46.23, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:32] 46.34, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:32] 46.45, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:32] 46.67, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:32] 46.78, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:33] 47.30, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:33] 47.41, Force(N): 32.783, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:33] 47.53, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:33] 47.64, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
